,mode,randmode,level_2,#contacts,#contacts(>4),#contacts(<=4),#rfrags,#rfrags(>4),#rfrags(<=4),max_count,mean_count,median_count,95percentile_count,exp
2,random_0,random,0,21238,2661,18577,15358,318,15040,94,1.3828623518687329,1.0,3.0,oS181
3,random_1,random,0,21238,2630,18608,15499,304,15195,89,1.3702819536744306,1.0,3.0,oS181
4,random_2,random,0,21238,2649,18589,15432,301,15131,89,1.3762312078797305,1.0,3.0,oS181
5,random_3,random,0,21238,2511,18727,15535,290,15245,90,1.3671065336337302,1.0,3.0,oS181
6,random_4,random,0,21238,2691,18547,15413,316,15097,96,1.3779277233504186,1.0,3.0,oS181
7,random_5,random,0,21238,2716,18522,15470,311,15159,107,1.3728506787330317,1.0,3.0,oS181
8,random_6,random,0,21238,2583,18655,15548,288,15260,102,1.3659634679701569,1.0,3.0,oS181
9,random_7,random,0,21238,2742,18496,15359,316,15043,92,1.3827723159059835,1.0,3.0,oS181
10,random_8,random,0,21238,2670,18568,15503,306,15197,92,1.369928400954654,1.0,3.0,oS181
11,random_9,random,0,21238,2538,18700,15455,287,15168,85,1.374183112261404,1.0,3.0,oS181
0,junctions,real,0,26158,1680,24478,24059,90,23969,57,1.087243858847001,1.0,1.0,oS185
1,junctions+hops,real,0,151214,51854,99360,72465,4549,67916,2305,2.0867177257986613,1.0,5.0,oS185
2,random_0,random,0,26158,3407,22751,19297,289,19008,407,1.3555474944291859,1.0,3.0,oS185
3,random_1,random,0,26158,3656,22502,19222,332,18890,410,1.3608365414629071,1.0,3.0,oS185
4,random_2,random,0,26158,3454,22704,19345,304,19041,371,1.352184026880331,1.0,3.0,oS185
5,random_3,random,0,26158,3473,22685,19368,316,19052,383,1.350578273440727,1.0,3.0,oS185
6,random_4,random,0,26158,3604,22554,19242,333,18909,406,1.3594220974950628,1.0,3.0,oS185
7,random_5,random,0,26158,3476,22682,19286,315,18971,408,1.3563206471015243,1.0,3.0,oS185
8,random_6,random,0,26158,3383,22775,19416,293,19123,408,1.3472393901936548,1.0,3.0,oS185
9,random_7,random,0,26158,3614,22544,19284,323,18961,382,1.356461315079859,1.0,3.0,oS185
10,random_8,random,0,26158,3624,22534,19342,331,19011,398,1.352393754523834,1.0,3.0,oS185
11,random_9,random,0,26158,3534,22624,19332,310,19022,410,1.3530933167804675,1.0,3.0,oS185
0,junctions,real,0,19600,192,19408,19131,22,19109,22,1.0245151847786316,1.0,1.0,oS191
1,junctions+hops,real,0,84968,19882,65086,44018,2079,41939,325,1.930301240401654,1.0,4.0,oS191
2,random_0,random,0,19600,1574,18026,15206,132,15074,81,1.2889648822833093,1.0,2.0,oS191
3,random_1,random,0,19600,1660,17940,15112,140,14972,81,1.2969825304393858,1.0,2.0,oS191
